1,male,Chester,W,Taube,3471 Copperhead Road,Hartford,CT,6103,10/5/1975,MasterCard,5.54388E+15,14-Nov
2,female,Kimberly,A,Blalock,2270 Oak Street,Eagle Bay,NY,13331,2/3/1924,Visa,4.53978E+15,14-Oct
3,male,Richard,B,Smartt,1951 Platinum Drive,Rochester,PA,15074,7/14/1983,MasterCard,5.53436E+15,14-Jul
4,female,Felicia,C,Swihart,3994 Oakmound Drive,Hickory Hills,IL,60457,1/13/1993,MasterCard,5.44739E+15,17-Jun
5,female,Vanessa,D,Johnson,4880 Hewes Avenue,Columbia,MD,21046,6/21/1924,MasterCard,5.42896E+15,16-Mar
6,male,Chad,J,Gilbert,4701 Eagle Street,Olney,IL,62450,2/24/1928,Visa,4.48504E+15,16-Jun
7,female,Joyce,L,Parrish,3886 Ryan Road,Crooks,SD,57020,1/1/1939,MasterCard,5.32137E+15,17-Oct
8,male,Robert,A,Vargas,3277 Longview Avenue,Brooklyn,NY,11215,12/13/1951,Visa,4.55616E+15,17-Aug
9,female,Iris,K,Lassiter,66 Lynch Street,Fond Du Lac,WI,54935,10/4/1985,Visa,4.92973E+15,17-Nov
10,male,Jose,K,McKinney,1489 Farm Meadow Drive,Flagstaff,AZ,86001,2/8/1953,MasterCard,5.10319E+15,15-Oct
11,female,Stephanie,L,Villarreal,4427 Bedford Street,Stamford,CT,6995,9/5/1989,MasterCard,5.47361E+15,16-Feb
12,male,Christopher,R,Zack,892 Tully Street,Southfield,MI,48075,1/18/1957,Visa,4.48535E+15,14-Aug
13,male,Harold,M,Leclaire,2705 Lowes Alley,Jackson,OH,45640,10/10/1967,Visa,4.71649E+15,18-Jun
14,male,Charles,K,Phillips,1694 Luke Lane,Oklahoma City,OK,73102,9/16/1988,MasterCard,5.12958E+15,14-Aug
15,female,Kathy,R,Kirkpatrick,1398 Stanton Hollow Road,Needham,MA,2192,9/3/1924,MasterCard,5.37914E+15,16-May
16,female,Nicole,R,Alvarez,2548 Tori Lane,West Valley City,UT,84120,1/13/1937,Visa,4.55608E+15,16-Sep
17,male,Leonard,K,Rivera,945 Koontz Lane,Sherman Oaks,CA,91403,6/11/1982,MasterCard,5.48267E+15,14-Dec
18,male,James,L,Ohare,1899 Carriage Court,Desert Height,CA,92252,5/9/1925,Visa,4.53284E+15,14-Aug
19,male,Willie,M,Mathews,4420 Eagle Lane,Cross Lake,MN,56442,7/13/1935,Visa,4.92972E+15,17-Feb
20,female,Cynthia,S,Roach,3973 Victoria Court,Portland,ME,4101,2/20/1989,Visa,4.48501E+15,16-Nov
21,female,Aubrey,T,Fitzgerald,4457 Wines Lane,Houston,TX,77060,6/18/1990,Visa,4.53266E+15,15-Sep
22,female,Dorothy,P,Mielke,2936 Sycamore Street,San Francisco,CA,94104,4/29/1955,MasterCard,5.14463E+15,18-Sep
23,male,Milton,R,Medlock,4055 Pin Oak Drive,Bettendorf,IA,52722,1/15/1961,MasterCard,5.5651E+15,14-Aug
24,male,Richard,S,Lambert,4197 Green Acres Road,Murfreesboro,NC,27855,2/20/1981,Visa,4.53952E+15,16-May
25,male,Timothy,F,Tuttle,1930 Stoney Lane,Dallas,TX,75204,8/18/1995,MasterCard,5.14394E+15,15-Oct
26,male,Daren,K,Dougherty,4327 Elk Rd Little,Casa Grande,AZ,85222,11/30/1962,MasterCard,5.40738E+15,16-Apr
27,female,Lori,C,Wilson,926 Pinchelone Street,Portsmouth,VA,23707,6/17/1954,Visa,4.48565E+15,14-Jun
28,female,Lisa,B,Tobin,887 Ripple Street,Saginaw,MI,48607,12/9/1971,Visa,4.53261E+15,14-Nov
29,male,Willis,M,Faison,4389 Kincheloe Road,Gresham,OR,97030,12/11/1984,MasterCard,5.4563E+15,17-Dec
30,male,Michael,S,Lee,2702 Davis Lane,Centennial,CO,80112,3/23/1987,MasterCard,5.58885E+15,16-Jun
31,male,Duncan,D,Robinson,2336 Felosa Drive,Brownwood,TX,76801,11/9/1980,MasterCard,5.29181E+15,18-Oct
32,male,Russel,E,Lyons,640 Stratford Park,Evansville,IN,47708,2/20/1963,Visa,4.55673E+15,16-Apr
33,male,John,M,Myers,1577 Cost Avenue,Beltsville,MD,20705,12/23/1970,MasterCard,5.16115E+15,14-Jan
34,male,Michael,J,Valenzuela,913 Conaway Street,Bloomington,IN,47408,10/14/1934,Visa,4.5564E+15,18-Jun
35,female,Dorothy,J,Hill,4646 Payne Street,Marion,VA,24354,3/18/1943,MasterCard,5.30102E+15,14-Jun
36,male,David,Z,Oleary,2773 Callison Lane,Newark,DE,19711,3/21/1981,Visa,4.53264E+15,14-Mar
37,female,Dawn,J,Bryant,297 Camel Back Road,Tulsa,OK,74145,2/9/1948,Visa,4.53233E+15,15-May
38,male,Jonathan,A,Sierra,3643 Camel Back Road,Tulsa,OK,74145,9/14/1971,Visa,4.53289E+15,14-Nov
39,male,Edward,A,Whipple,3597 Bridge Avenue,Lafayette,LA,70503,1/4/1968,MasterCard,5.21524E+15,14-Nov
40,male,Larry,E,West,3672 Pine Garden Lane,Lawrenceville,GA,30245,2/23/1982,MasterCard,5.50227E+15,16-Sep
41,male,Earl,S,Vaillancourt,2829 Hamill Avenue,San Diego,CA,92117,12/12/1934,Visa,4.53223E+15,18-May
42,female,Deborah,K,Albert,1288 Oakmound Drive,Bridgeview,IL,60455,4/4/1953,Visa,4.92999E+15,16-Feb
43,male,Eric,C,Maldonado,1291 Thomas Street,Libertyville,IL,60048,2/21/1926,Visa,4.53279E+15,16-Mar
44,female,Barbara,N,Bennett,314 Tenmile Road,Bedford,MA,1730,9/24/1994,MasterCard,5.41167E+15,16-Jun
45,male,Edward,P,Quinn,1172 Elmwood Avenue,Scottsdale,AZ,85253,1/6/1952,Visa,4.53266E+15,17-Aug
